DateTime,H24
2016-10-07T21:45,964.0
2016-10-07T22:00,492.0
2016-10-07T22:15,496.0
2016-10-07T22:30,932.0
2016-10-07T22:45,2788.0
2016-10-07T23:00,2280.0
2016-10-07T23:15,416.0
2016-10-07T23:30,464.0
2016-10-07T23:45,580.0
2016-10-08T00:00,524.0
2016-10-08T00:15,372.0
2016-10-08T00:30,924.0
2016-10-08T00:45,1548.0
2016-10-08T01:00,484.0
2016-10-08T01:15,232.0
2016-10-08T01:30,232.0
2016-10-08T01:45,292.0
2016-10-08T02:00,356.0
2016-10-08T02:15,256.0
2016-10-08T02:30,264.0
2016-10-08T02:45,276.0
2016-10-08T03:00,328.0
2016-10-08T03:15,296.0
2016-10-08T03:30,232.0
2016-10-08T03:45,232.0
2016-10-08T04:00,336.0
2016-10-08T04:15,320.0
2016-10-08T04:30,244.0
2016-10-08T04:45,268.0
2016-10-08T05:00,252.0
2016-10-08T05:15,328.0
2016-10-08T05:30,316.0
2016-10-08T05:45,796.0
2016-10-08T06:00,1448.0
2016-10-08T06:15,1576.0
2016-10-08T06:30,596.0
2016-10-08T06:45,280.0
2016-10-08T07:00,232.0
2016-10-08T07:15,244.0
2016-10-08T07:30,388.0
2016-10-08T07:45,296.0
2016-10-08T08:00,228.0
2016-10-08T08:15,232.0
2016-10-08T08:30,284.0
2016-10-08T08:45,320.0
2016-10-08T09:00,1528.0
2016-10-08T09:15,2584.0
2016-10-08T09:30,612.0
2016-10-08T09:45,536.0
2016-10-08T10:00,508.0
2016-10-08T10:15,980.0
2016-10-08T10:30,452.0
2016-10-08T10:45,536.0
2016-10-08T11:00,504.0
2016-10-08T11:15,448.0
2016-10-08T11:30,836.0
2016-10-08T11:45,500.0
2016-10-08T12:00,1124.0
2016-10-08T12:15,344.0
2016-10-08T12:30,312.0
2016-10-08T12:45,364.0
2016-10-08T13:00,404.0
2016-10-08T13:15,328.0
2016-10-08T13:30,356.0
2016-10-08T13:45,368.0
2016-10-08T14:00,516.0
2016-10-08T14:15,524.0
2016-10-08T14:30,480.0
2016-10-08T14:45,332.0
2016-10-08T15:00,1884.0
2016-10-08T15:15,1300.0
2016-10-08T15:30,1296.0
2016-10-08T15:45,1004.0
2016-10-08T16:00,924.0
2016-10-08T16:15,716.0
2016-10-08T16:30,360.0
2016-10-08T16:45,520.0
2016-10-08T17:00,1096.0
2016-10-08T17:15,408.0
2016-10-08T17:30,364.0
2016-10-08T17:45,260.0
2016-10-08T18:00,440.0
2016-10-08T18:15,376.0
2016-10-08T18:30,424.0
2016-10-08T18:45,360.0
2016-10-08T19:00,464.0
2016-10-08T19:15,336.0
2016-10-08T19:30,716.0
2016-10-08T19:45,872.0
2016-10-08T20:00,332.0
2016-10-08T20:15,332.0
2016-10-08T20:30,600.0
2016-10-08T20:45,2500.0
2016-10-08T21:00,2464.0
2016-10-08T21:15,296.0
2016-10-08T21:30,576.0
2016-10-08T21:45,608.0
2016-10-08T22:00,624.0
2016-10-08T22:15,792.0
2016-10-08T22:30,532.0
2016-10-08T22:45,536.0
2016-10-08T23:00,1156.0
2016-10-08T23:15,1712.0
2016-10-08T23:30,1716.0
2016-10-08T23:45,1836.0
2016-10-09T00:00,628.0
2016-10-09T00:15,532.0
2016-10-09T00:30,444.0
2016-10-09T00:45,260.0
2016-10-09T01:00,276.0
2016-10-09T01:15,320.0
2016-10-09T01:30,1220.0
2016-10-09T01:45,1492.0
2016-10-09T02:00,1484.0
2016-10-09T02:15,1572.0
2016-10-09T02:30,332.0
2016-10-09T02:45,228.0
2016-10-09T03:00,232.0
2016-10-09T03:15,328.0
2016-10-09T03:30,324.0
2016-10-09T03:45,1432.0
2016-10-09T04:00,1484.0
2016-10-09T04:15,1496.0
2016-10-09T04:30,1568.0
2016-10-09T04:45,316.0
2016-10-09T05:00,232.0
2016-10-09T05:15,292.0
2016-10-09T05:30,708.0
2016-10-09T05:45,2420.0
2016-10-09T06:00,2008.0
2016-10-09T06:15,156.0
2016-10-09T06:30,172.0
2016-10-09T06:45,1328.0
2016-10-09T07:00,1588.0
2016-10-09T07:15,1524.0
2016-10-09T07:30,1552.0
2016-10-09T07:45,944.0
2016-10-09T08:00,348.0
2016-10-09T08:15,292.0
2016-10-09T08:30,228.0
2016-10-09T08:45,288.0
2016-10-09T09:00,748.0
2016-10-09T09:15,1584.0
2016-10-09T09:30,1556.0
2016-10-09T09:45,1512.0
2016-10-09T10:00,804.0
2016-10-09T10:15,288.0
2016-10-09T10:30,280.0
2016-10-09T10:45,224.0
2016-10-09T11:00,1208.0
2016-10-09T11:15,508.0
2016-10-09T11:30,520.0
2016-10-09T11:45,452.0
2016-10-09T12:00,432.0
2016-10-09T12:15,508.0
2016-10-09T12:30,2504.0
2016-10-09T12:45,2088.0
2016-10-09T13:00,976.0
2016-10-09T13:15,2824.0
2016-10-09T13:30,1576.0
2016-10-09T13:45,568.0
2016-10-09T14:00,348.0
2016-10-09T14:15,788.0
2016-10-09T14:30,760.0
2016-10-09T14:45,596.0
2016-10-09T15:00,3256.0
2016-10-09T15:15,1456.0
2016-10-09T15:30,816.0
2016-10-09T15:45,776.0
2016-10-09T16:00,360.0
2016-10-09T16:15,328.0
2016-10-09T16:30,2284.0
2016-10-09T16:45,2692.0
2016-10-09T17:00,688.0
2016-10-09T17:15,436.0
2016-10-09T17:30,348.0
2016-10-09T17:45,272.0
2016-10-09T18:00,420.0
2016-10-09T18:15,200.0
2016-10-09T18:30,360.0
2016-10-09T18:45,268.0
2016-10-09T19:00,204.0
2016-10-09T19:15,180.0
2016-10-09T19:30,224.0
2016-10-09T19:45,1092.0
2016-10-09T20:00,920.0
2016-10-09T20:15,708.0
2016-10-09T20:30,348.0
2016-10-09T20:45,424.0
2016-10-09T21:00,1420.0
2016-10-09T21:15,484.0
2016-10-09T21:30,540.0
2016-10-09T21:45,1628.0
2016-10-09T22:00,568.0
2016-10-09T22:15,500.0
2016-10-09T22:30,464.0
2016-10-09T22:45,536.0
2016-10-09T23:00,552.0
2016-10-09T23:15,464.0
2016-10-09T23:30,368.0
2016-10-09T23:45,352.0
2016-10-10T00:00,316.0
2016-10-10T00:15,348.0
2016-10-10T00:30,1428.0
2016-10-10T00:45,1544.0
2016-10-10T01:00,1104.0
2016-10-10T01:15,236.0
2016-10-10T01:30,228.0
2016-10-10T01:45,312.0
2016-10-10T02:00,316.0
2016-10-10T02:15,248.0
2016-10-10T02:30,1316.0
2016-10-10T02:45,1520.0
2016-10-10T03:00,1412.0
2016-10-10T03:15,328.0
2016-10-10T03:30,232.0
2016-10-10T03:45,232.0
2016-10-10T04:00,1212.0
2016-10-10T04:15,1556.0
2016-10-10T04:30,1488.0
2016-10-10T04:45,228.0
2016-10-10T05:00,300.0
2016-10-10T05:15,348.0
2016-10-10T05:30,228.0
2016-10-10T05:45,1100.0
2016-10-10T06:00,1572.0
2016-10-10T06:15,1612.0
2016-10-10T06:30,448.0
2016-10-10T06:45,260.0
2016-10-10T07:00,244.0
2016-10-10T07:15,364.0
2016-10-10T07:30,1252.0
2016-10-10T07:45,1508.0
2016-10-10T08:00,1528.0
2016-10-10T08:15,1540.0
2016-10-10T08:30,1040.0
2016-10-10T08:45,2456.0
2016-10-10T09:00,788.0
2016-10-10T09:15,252.0
2016-10-10T09:30,964.0
2016-10-10T09:45,384.0
2016-10-10T10:00,296.0
2016-10-10T10:15,296.0
2016-10-10T10:30,368.0
2016-10-10T10:45,408.0
2016-10-10T11:00,296.0
2016-10-10T11:15,1020.0
2016-10-10T11:30,584.0
2016-10-10T11:45,428.0
2016-10-10T12:00,1424.0
2016-10-10T12:15,364.0
2016-10-10T12:30,420.0
2016-10-10T12:45,336.0
2016-10-10T13:00,464.0
2016-10-10T13:15,472.0
2016-10-10T13:30,800.0
2016-10-10T13:45,900.0
2016-10-10T14:00,1100.0
2016-10-10T14:15,1172.0
2016-10-10T14:30,768.0
2016-10-10T14:45,240.0
2016-10-10T15:00,284.0
2016-10-10T15:15,360.0
2016-10-10T15:30,608.0
2016-10-10T15:45,336.0
2016-10-10T16:00,364.0
2016-10-10T16:15,444.0
2016-10-10T16:30,388.0
2016-10-10T16:45,228.0
2016-10-10T17:00,224.0
2016-10-10T17:15,328.0
2016-10-10T17:30,276.0
2016-10-10T17:45,276.0
2016-10-10T18:00,220.0
2016-10-10T18:15,492.0
2016-10-10T18:30,380.0
2016-10-10T18:45,1688.0
2016-10-10T19:00,2540.0
2016-10-10T19:15,516.0
2016-10-10T19:30,1496.0
2016-10-10T19:45,708.0
2016-10-10T20:00,520.0
2016-10-10T20:15,984.0
2016-10-10T20:30,1536.0
2016-10-10T20:45,2024.0
2016-10-10T21:00,1076.0
2016-10-10T21:15,1848.0
2016-10-10T21:30,1956.0
2016-10-10T21:45,888.0
2016-10-10T22:00,428.0
2016-10-10T22:15,448.0
2016-10-10T22:30,468.0
2016-10-10T22:45,672.0
2016-10-10T23:00,432.0
2016-10-10T23:15,412.0
2016-10-10T23:30,436.0
2016-10-10T23:45,380.0
2016-10-11T00:00,276.0
2016-10-11T00:15,240.0
2016-10-11T00:30,240.0
2016-10-11T00:45,324.0
2016-10-11T01:00,308.0
2016-10-11T01:15,236.0
2016-10-11T01:30,236.0
2016-10-11T01:45,276.0
2016-10-11T02:00,356.0
2016-10-11T02:15,740.0
